"id","Callsign","TG-id"
"id","callsign","tgid"
"1","LOCAL","TG1"
"2","LOCAL / CLUSTER","TG2"
"3","N/A","TG3"
"4","TECH-TALK LOCAL","TG4"
"5","LOCAL / CLUSTER","TG5"
"6","LOCAL / CLUSTER","TG6"
"7","LOCAL / CLUSTER","TG7"
"8","LOCAL / CLUSTER","TG8"
"9","DIAL-a-TG","TG9"
"10","LOCAL / CLUSTER","TG10"
"11","LOCAL / CLUSTER","TG11"
"12","LOCAL / CLUSTER","TG12"
"13","LOCAL / CLUSTER","TG13"
"14","LOCAL / CLUSTER","TG14"
"15","LOCAL / CLUSTER","TG15"
"16","LOCAL / CLUSTER","TG16"
"17","LOCAL / CLUSTER","TG17"
"18","LOCAL / CLUSTER","TG18"
"19","LOCAL / CLUSTER","TG19"
"20","LOCAL / CLUSTER","TG20"
"21","LOCAL / CLUSTER","TG21"
"22","LOCAL / CLUSTER","TG22"
"23","LOCAL / CLUSTER","TG23"
"24","LOCAL / CLUSTER","TG24"
"25","LOCAL / CLUSTER","TG25"
"26","LOCAL / CLUSTER","TG26"
"91","WORLD-WIDE","TG91"
"92","EUROPE","TG92"

"262","DEUTSCHLAND NATIONAL","TG262"
"263","DEUTSCHLAND MULTIMODE","TG263"

"2620","SACHSEN-ANHALT / MECKLENBURG-V","TG2620"
"2621","BERLIN / BRANDENBURG","TG2621"
"2622","HAMBURG / SCHLESWIG-HOLSTEIN","TG2622"
"2623","NIEDERSACHSEN / BREMEN","TG2623"
"2624","NORDRHEIN-WESTFALEN","TG2624"
"2625","RHEINLAND-PFALZ / SAARLAND","TG2625"
"2626","HESSEN","TG2626"
"2627","BADEN-WÜRTTEMBERG","TG2627"
"2628","BAYERN","TG2628"
"2629","SACHSEN / THÜRINGEN","TG2629"

"4000","DISCONNECT REF4000","REF4000"
"4016","BERLIN-BRANDENBURG REF4016","REF4016"

"9112","EMCOM EU EMERGENCY","TG9112"

"9990","PARROT / ECHO","TG9990"

"26200","TAC 1 AUSWEICH-TG","TG26200"
"26201","DEUTSCHLAND MARITIME","TG26201"
"26202","DEUTSCHLAND AERONAUTICAL","TG26202"
"26207","SACHSEN-ANHALT","TG26207"
"26209","BRANDENBURG","TG26209"
"26211","OV F11 BAD HOMBURG","TG26211"
"26212","BERLIN-CITY","TG26212"
"26217","MECKLENBURG-VORPOMMERN","TG26217"
"26220","GROßRAUM HAMBURG","TG26220"
"26221","HAMBURG-CITY","TG26221"
"26222","OSTHOLSTEIN-NORD","TG26222"
"26223","GROßRAUM BREMEN","TG26223"
"26224","ELBE-WESER","TG26224"
"26228","OSTHOLSTEIN-SÜD","TG26228"
"26229","SÜDHOLSTEIN","TG26229"
"26230","MITTELLANDKANAL","TG26230"
"26231","NI MITTE","TG26231"
"26233","TAC 3 AUSWEICH-TG","TG26233"
"26234","NIEDERSACHSEN-SÜD","TG26234"
"26235","NIEDERSACHSEN-SÜDHEIDE","TG26235"
"26236","NIEDERSACHSEN-NORD","TG26236"
"26237","NORDSEE","TG26237"
"26239","NI-OST","TG26239"
"26240","CROSSLINK BREMEN CITY","TG26240"
"26241","RHEINLAND","TG26241"
